stage,cell_id,predictor,risk_policy,target_style,target_offset_m,ego_init_id,min_center_distance_m,min_footprint_separation_m,footprint_collision,conflict_point_x,conflict_point_y,yield_order_valid,clearance_time_gap_s,logged_footprint_margin_m
day10,B0_fixed_medium_reactive,B0,fixed_medium,reactive,0.0,46,4.330941164392526,0.8390618828096366,0,30.221257209777832,3.72460675239563,1,1.4500000216066837,0.25
day10,B0_fixed_medium_reactive,B0,fixed_medium,reactive,0.0,47,4.543220716822272,1.1073864239981686,0,29.595783233642578,3.7115222215652466,1,1.1000000163912773,0.25
day10,B0_fixed_medium_reactive,B0,fixed_medium,reactive,0.0,48,4.577838221991885,1.1184883358607784,0,30.079745292663574,3.668249011039734,1,1.5000000223517418,0.25
day10,B0_fixed_medium_reactive,B0,fixed_medium,reactive,0.0,49,4.610481068369436,1.1561054928566235,0,30.29502010345459,3.692402720451355,1,1.5000000223517418,0.25
day10,B0_fixed_medium_reactive,B0,fixed_medium,reactive,0.0,50,5.126695715743496,1.7972736600469343,0,30.139077186584473,3.669605016708374,1,1.3500000201165676,0.25
day10,B1_adaptive_assertive,B1,adaptive,assertive,0.0,46,4.506920422575046,0.9861039421566887,0,30.1000919342041,3.6765034198760986,1,1.1500000171363354,0.25
day10,B1_adaptive_assertive,B1,adaptive,assertive,0.0,47,4.4909934739572215,1.0344460919996392,0,29.54234504699707,3.6566094160079956,1,1.1000000163912773,0.25
day10,B1_adaptive_assertive,B1,adaptive,assertive,0.0,48,4.614027930693508,1.1350885312938095,0,30.124502182006836,3.684900403022766,1,1.5000000223517418,0.25
day10,B1_adaptive_assertive,B1,adaptive,assertive,0.0,49,4.790466938414517,1.3294770603890116,0,30.162982940673828,3.6775718927383423,1,1.3000000193715096,0.25
day10,B1_adaptive_assertive,B1,adaptive,assertive,0.0,50,5.117019080846188,1.7853060353707149,0,30.118268966674805,3.6434966325759888,1,1.3500000201165676,0.25
day10,B1_adaptive_reactive,B1,adaptive,reactive,0.0,46,4.33013434717971,0.8385478450793392,0,30.220816612243652,3.72527277469635,1,1.4500000216066837,0.25
day10,B1_adaptive_reactive,B1,adaptive,reactive,0.0,47,4.474384022707809,1.0166451664745086,0,29.541095733642578,3.6678165197372437,1,1.1000000163912773,0.25
day10,B1_adaptive_reactive,B1,adaptive,reactive,0.0,48,4.584156771359165,1.122764224844698,0,30.093994140625,3.658360242843628,1,1.5000000223517418,0.25
day10,B1_adaptive_reactive,B1,adaptive,reactive,0.0,49,4.689672701632786,1.215280911937039,0,30.31801986694336,3.687341094017029,1,1.3500000201165676,0.25
day10,B1_adaptive_reactive,B1,adaptive,reactive,0.0,50,5.134564365962205,1.8078267845874658,0,30.118589401245117,3.628278970718384,1,1.3500000201165676,0.25
day10,B1_fixed_aggressive_assertive,B1,fixed_aggressive,assertive,0.0,46,4.53270593477413,1.0154659300059423,0,30.105953216552734,3.6612004041671753,1,1.1500000171363354,0.25
day10,B1_fixed_aggressive_assertive,B1,fixed_aggressive,assertive,0.0,47,4.477199697110633,1.0208270406220952,0,29.539135932922363,3.6638203859329224,1,1.1000000163912773,0.25
day10,B1_fixed_aggressive_assertive,B1,fixed_aggressive,assertive,0.0,48,4.601076894705581,1.1204221509009578,0,30.120891571044922,3.705137610435486,1,1.5000000223517418,0.25
day10,B1_fixed_aggressive_assertive,B1,fixed_aggressive,assertive,0.0,49,4.788283749259765,1.3262333582491488,0,30.162869453430176,3.6796443462371826,1,1.3000000193715096,0.25
day10,B1_fixed_aggressive_assertive,B1,fixed_aggressive,assertive,0.0,50,5.117786625286951,1.7834586952184013,0,30.118088722229004,3.636863589286804,1,1.3500000201165676,0.25
day10,B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,0.0,46,4.335714744869842,0.8452602808700442,0,30.223681449890137,3.7208876609802246,1,1.4500000216066837,0.25
day10,B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,0.0,47,4.47711788291258,1.0207620788856056,0,29.539459228515625,3.6639615297317505,1,1.1000000163912773,0.25
