baseline,split,rollout,ego_init_id,cell_id,target_style,response_active,ADE_m,FDE_m,diagonal_gaussian_NLL_nats_per_step
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.37724865282718895,0.43985128638190546,-2.2620749158075073
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.2954860237836559,0.4660359100968469,-2.2977954709112316
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,2.2493562032520513,6.14393984452106,-1.9929758408100202
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.2660261483363399,0.3428092659795895,-2.3255688078493684
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.33649648939298527,0.6552569599165372,-2.3576993955056946
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,2.4694591351271837,6.199245468551009,-1.6997381798578455
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.286698276247695,0.3553102440760856,-2.3211461864927037
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.37013711026455276,0.6398435732482739,-2.3075751834737126
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.21514059176756498,0.23726831739166993,-2.407356292463396
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.36609926157320066,0.4204196922108611,-2.28540604808967
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.11667268552526928,0.24446206834472684,-2.392600936624791
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,1.844501825964319,4.756619518644638,-2.0954503512278753
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.3849772188158641,0.43854131636013216,-2.268913910877383
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.3056694813951961,0.5540019357662331,-2.3527098015728773
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.8225651286577482,1.8965882212662015,-2.343618838293741
