inference_scope,contrast,metric,left_minus_right_mean,ci95_low,ci95_high,exact_init_cluster_sign_flip_p,condition_pairs,independent_init_groups,holm_adjusted_p_within_scope
synthesis_policy_x_offset_primary,policy_x_offset_0_vs_m3__B1,target_clearance_adjusted_completion_delay_s,-0.360000005364418,-1.1750000175088644,0.45000000670552254,0.5,10,5,1.0
synthesis_policy_x_offset_primary,policy_x_offset_0_vs_m3__B1,min_footprint_separation_m,0.07277688919049884,-0.04614827055231824,0.21452939203157886,0.3125,10,5,1.0
synthesis_policy_x_offset_primary,policy_x_offset_0_vs_m3__B1,solver_failure_fraction,0.000162748578155948,-8.561231393846986e-05,0.0004111094702503659,0.5,10,5,1.0
synthesis_policy_x_offset_primary,policy_x_offset_0_vs_m3__B1,supervisor_active_fraction,0.004603472020745495,-0.008240723295623257,0.019053214775952673,0.625,10,5,1.0
synthesis_policy_x_offset_primary,policy_x_offset_p3_vs_0__B1,target_clearance_adjusted_completion_delay_s,0.5900000087916851,-0.360000005364418,1.520000022649765,0.5,10,5,1.0
synthesis_policy_x_offset_primary,policy_x_offset_p3_vs_0__B1,min_footprint_separation_m,0.30414485138180675,0.11190721862119601,0.47333172030178794,0.125,10,5,1.0
synthesis_policy_x_offset_primary,policy_x_offset_p3_vs_0__B1,solver_failure_fraction,0.0030680773279653266,-0.0005757047248254585,0.0066628633325554725,0.25,10,5,1.0
synthesis_policy_x_offset_primary,policy_x_offset_p3_vs_0__B1,supervisor_active_fraction,-0.0032938819936002076,-0.013392488308079436,0.010153243968630779,0.625,10,5,1.0
synthesis_policy_x_offset_primary,policy_x_offset_p3_vs_m3__B1,target_clearance_adjusted_completion_delay_s,0.23000000342726706,-0.8950000133365392,1.465000021830201,0.8125,10,5,1.0
synthesis_policy_x_offset_primary,policy_x_offset_p3_vs_m3__B1,min_footprint_separation_m,0.3769217405723056,0.09287091285586417,0.6609725682887471,0.125,10,5,1.0
synthesis_policy_x_offset_primary,policy_x_offset_p3_vs_m3__B1,solver_failure_fraction,0.003230825906121274,-0.000606255881855601,0.00706790769409815,0.25,10,5,1.0
synthesis_policy_x_offset_primary,policy_x_offset_p3_vs_m3__B1,supervisor_active_fraction,0.0013095900271452867,-0.012254397202616077,0.015159247112929108,0.9375,10,5,1.0
synthesis_policy_x_offset_primary,policy_x_offset_0_vs_m3__B0,target_clearance_adjusted_completion_delay_s,-0.1650000024586916,-0.5250000078231096,0.1650000024586916,0.5,10,5,1.0
synthesis_policy_x_offset_primary,policy_x_offset_0_vs_m3__B0,min_footprint_separation_m,0.013338482463001844,-0.01718959754685716,0.050665337809277046,0.6875,10,5,1.0
synthesis_policy_x_offset_primary,policy_x_offset_0_vs_m3__B0,solver_failure_fraction,-0.0008860648837269658,-0.0018854216415259445,3.9849138854807736e-05,0.375,10,5,1.0
