hypothesis,contrast_id,metric,target_style,treatment_predictor,control_predictor,treatment_policy,control_policy,ego_init_id,treatment_value,control_value,treatment_minus_control,pair_complete,missing_reason
H4,H4_B0_reactive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,reactive,B0,B0,adaptive,fixed_medium,101,1.0582930901555025,1.0956823307787336,-0.03738924062323101,1,
H4,H4_B0_reactive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,reactive,B0,B0,adaptive,fixed_medium,102,1.3506695880419928,1.384392415843489,-0.03372282780149627,1,
H4,H4_B0_reactive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,reactive,B0,B0,adaptive,fixed_medium,103,0.9577103988245683,0.9356233248510477,0.02208707397352061,1,
H4,H4_B0_reactive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,reactive,B0,B0,adaptive,fixed_medium,104,0.9934258361240389,1.0027805336334612,-0.009354697509422305,1,
H4,H4_B0_reactive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,reactive,B0,B0,adaptive,fixed_medium,105,1.2993527941515992,1.2831767507939384,0.016176043357660763,1,
H4,H4_B0_reactive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,reactive,B0,B0,adaptive,fixed_conservative,101,11.35,11.2,0.15000000000000036,1,
H4,H4_B0_reactive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,reactive,B0,B0,adaptive,fixed_conservative,102,10.8,11.4,-0.5999999999999996,1,
H4,H4_B0_reactive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,reactive,B0,B0,adaptive,fixed_conservative,103,11.1,10.25,0.8499999999999996,1,
H4,H4_B0_reactive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,reactive,B0,B0,adaptive,fixed_conservative,104,10.2,10.2,0.0,1,
H4,H4_B0_reactive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,reactive,B0,B0,adaptive,fixed_conservative,105,11.75,10.9,0.8499999999999996,1,
H4,H4_B0_reactive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,reactive,B0,B0,adaptive,fixed_conservative,101,1.0582930901555025,1.0589516080341448,-0.0006585178786422397,1,
H4,H4_B0_reactive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,reactive,B0,B0,adaptive,fixed_conservative,102,1.3506695880419928,1.3898464054492718,-0.039176817407279074,1,
H4,H4_B0_reactive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,reactive,B0,B0,adaptive,fixed_conservative,103,0.9577103988245683,0.9356249667055797,0.022085432118988613,1,
H4,H4_B0_reactive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,reactive,B0,B0,adaptive,fixed_conservative,104,0.9934258361240389,1.0325218367544158,-0.03909600063037688,1,
H4,H4_B0_reactive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,reactive,B0,B0,adaptive,fixed_conservative,105,1.2993527941515992,1.2829505809286343,0.016402213222964868,1,
