t,step,ey,epsi_deg,speed,vehicle_accel,cmd_accel,cmd_yaw_or_steer,final_accel_delta,solve_time_ms,risk_tightening,target_prob,ego_distance_to_conflict,supervisor_active,target_cleared,top_mode_probability
4.5,90,-0.008381073702,-1.328285941,5.041881019,2.676410867,0.2,0.2427099492,-0.1998799662,28.283631,1.64,0.9494974165,6.284782777,0,1,0.549271822
4.55,91,-0.003838628333,-5.079092583,5.108789821,1.249215747,0.2,0.2465541493,-0.2917178237,41.92821,1.64,0.9494974165,6.284782777,0,1,0.5660893917
4.6,92,-0.009128298258,-4.292160591,5.006075511,-2.121769513,0.2,0.1747380361,-0.0691609933,53.172501,1.64,0.9494974165,6.284782777,0,1,0.5547018647
4.65,93,-0.01031466329,-3.457069954,5.010742612,0.01432075161,0.2,0.1782489735,-0.1458333951,31.172354,1.64,0.9494974165,5.260179088,0,1,0.5616418123
4.7,94,-0.007921931851,-2.582556328,5.043653722,0.5792503641,0.2,0.2993816661,-0.1999405528,52.44203,1.64,0.9494974165,5.260179088,0,1,0.4982843101
4.75,95,-0.009991545543,-6.203941628,5.019434229,-0.6211918936,0.2,0.2629159625,-0.200111321,38.094178,1.64,0.9494974165,5.260179088,0,1,0.5125135779
4.8,96,-0.01592724108,-5.180856987,5.007574008,-0.353509387,0.2,0.2175412647,-0.1079132887,33.271088,1.64,0.9494974165,5.260179088,0,1,0.6768042445
4.85,97,-0.01704297663,-4.163641258,5.005087709,-0.1651113866,0.2,0.2203638656,-0.1711212617,64.356853,1.64,0.9494974165,4.238514498,0,1,0.6697173715
4.9,98,-0.0136641216,-3.152197167,5.001131181,-0.1902341418,0.5000367424,0.3259435653,-0.4999999937,79.578899,1.64,0.9494974165,4.238514498,0,1,0.6794063449
4.95,99,-0.01401756536,-6.700325176,4.977627526,-0.5784176154,0.4259156606,0.3282599654,-0.4999999937,88.649736,1.64,0.9494974165,4.238514498,0,1,0.6426964402
5,100,-0.01889571423,-5.577495739,4.944600872,-0.8758397371,0.2221596514,0.2389057605,-0.1473650753,100.246766,1.64,0.9494974165,4.238514498,0,1,0.595045507
5.05,101,-0.01772138633,-4.403186962,4.935774186,-0.3223551344,0.2256903258,0.2414268478,-0.2511874695,25.548184,1.64,0.9494974165,3.207789155,0,1,0.6038416028
5.1,102,-0.01214542808,-3.266273663,4.927977896,-0.2809782194,0.9000045029,0.3391878041,-0.9663380449,56.783093,1.64,0.9494974165,3.207789155,0,1,0.5952526927
5.15,103,-0.005410327478,-6.621672892,4.919147239,-0.3736801783,0.8875831775,0.3388980603,-0.9663380449,112.97316,1.64,0.9494974165,3.207789155,0,1,0.6644149423
5.2,104,-0.006269370548,-5.340205454,4.930858235,0.01531056919,0.2276567061,0.2316705306,-0.1546117318,35.161791,1.64,0.9494974165,3.207789155,0,1,0.6029561162
